# PC88Behavior 割り込み受理ログ
#
# 記録しているのは Z80 が割り込みを受理した事実そのもの——
# 受理時の割り込みモード(im)・intr_ack()が返したレベル(level)・
# 受理直前PC(ret_pc、スタックに積まれる戻り番地)・分岐後の
# ハンドラ入口(handler_pc)・フレーム番号のみ。ROM の内容は含まない。
#
# メインCPUとサブCPUは別々のZ80として並行に走っており、互いの
# seq/frame を比較しても実際の前後関係にはならない。そのため
# 1本の列に混ぜず、CPUごとに節を分けて出す（メイン→サブの順）。
# 同一CPU内の節は seq の昇順＝発生順そのもの。
#
# clock 列（M6c）は main/sub・iolog/intlog を横断する共通の
# 単調増加通し番号。iolog の clock 列と同じ番号空間を共有して
# いるので、割り込み受理と I/O イベントの前後関係も判定できる
# （小さいほうが先に起きた）。詳細は q88h_clock.h を参照。

core      : $WORKDIR/vendor/quasi88-libretro/quasi88_libretro.dylib
rom-dir   : $PC88_REF_ROM_DIR
disk      : $PC88_REF_DISK_DIR/diskB.d88
frames    : 3600

# main
# seq    clock   frame  cpu   im  level  ret_pc  handler_pc
   134  643747    269  main   2     2   9185    9456
   135  643832    269  main   2     4   918D    9469
   136  643866    269  main   2     2   918D    9456
   137  644000    269  main   2     2   9190    9456
   138  644109    269  main   2     4   9184    9469
   139  644119    269  main   2     2   9184    9456
   140  644253    270  main   2     2   9185    9456
   141  644386    270  main   2     4   918B    9469
   142  644396    270  main   2     2   918B    9456
   143  644491    270  main   2     2   9185    9456
   144  644625    270  main   2     2   9188    9456
   145  644647    270  main   2     4   9188    9469
   146  644744    270  main   2     2   9190    9456
   147  644878    270  main   2     2   9191    9456
   148  644924    270  main   2     4   9190    9469
   149  644997    270  main   2     2   9188    9456
   150  645131    270  main   2     2   9188    9456
   151  645185    270  main   2     4   9116    9469
   152  645225    270  main   2     2   9114    9456
   153  645327    270  main   2     2   910D    9456
   154  645399    270  main   2     4   9118    9469
   155  645409    270  main   2     2   910D    9456
   156  645512    271  main   2     2   9116    9456
   157  645602    271  main   2     4   9114    9469
   158  645612    271  main   2     2   9114    9456
   159  645708    271  main   2     2   9117    9456
   160  645810    271  main   2     2   9112    9456
   161  645816    271  main   2     4   910D    9469
   162  645904    271  main   2     2   9117    9456
   163  646006    271  main   2     2   9112    9456
   164  646030    271  main   2     4   9112    9469
   165  646100    271  main   2     2   9118    9456
   166  646203    271  main   2     2   9114    9456
   167  646245    271  main   2     4   9114    9469
   168  646285    271  main   2     2   9114    9456
   169  646387    271  main   2     2   910D    9456
   170  646447    271  main   2     4   9112    9469
   171  646481    272  main   2     2   9114    9456
   172  646583    272  main   2     2   910D    9456
   173  646662    272  main   2     4   9114    9469
   174  646677    272  main   2     2   9114    9456
   175  646779    272  main   2     2   910D    9456
   176  646876    272  main   2     4   9116    9469
   177  646886    272  main   2     2   9116    9456
   178  646975    272  main   2     2   910F    9456
   179  647078    272  main   2     2   9117    9456
   180  647090    272  main   2     4   910D    9469
   181  647160    272  main   2     2   9117    9456
   182  647262    272  main   2     2   9112    9456
   183  647293    272  main   2     4   9118    9469
   184  647356    272  main   2     2   9117    9456
   185  647458    272  main   2     2   9112    9456
   186  647507    272  main   2     4   910D    9469
   187  647552    273  main   2     2   9118    9456
   188  647684    273  main   2     2   9184    9456
   189  647771    273  main   2     4   918D    9469
   190  647803    273  main   2     2   918B    9456
   191  647937    273  main   2     2   918D    9456
   192  648048    273  main   2     4   9184    9469
   193  648058    273  main   2     2   9184    9456
   194  648175    273  main   2     2   918D    9456
   195  648309    273  main   2     2   9190    9456
   196  648311    273  main   2     4   9190    9469
   197  648428    273  main   2     2   9184    9456
   198  648562    273  main   2     2   9185    9456
   199  648588    273  main   2     4   9185    9469
   200  648681    273  main   2     2   918D    9456
   201  648815    273  main   2     2   9190    9456
   202  648865    273  main   2     4   918D    9469
   203  648934    274  main   2     2   9185    9456
   204  649068    274  main   2     2   9188    9456
   205  649142    274  main   2     4   9184    9469
   206  649172    274  main   2     2   9185    9456
   207  649306    274  main   2     2   9188    9456
   208  649404    274  main   2     4   9184    9469
   209  649425    274  main   2     2   9190    9456
   210  649559    274  main   2     2   9191    9456
   211  649681    274  main   2     4   918B    9469
   212  649691    274  main   2     2   918B    9456
   213  649812    274  main   2     2   9188    9456
   214  649946    274  main   2     2   9189    9456
   215  649957    274  main   2     4   9191    9469
   216  650065    274  main   2     2   9191    9456
   217  650199    274  main   2     2   9191    9456
   218  650234    274  main   2     4   9188    9469
   219  650303    275  main   2     2   9191    9456
   220  650437    275  main   2     2   9181    9456
   221  650496    275  main   2     4   9185    9469
   222  650556    275  main   2     2   9189    9456
   223  650690    275  main   2     2   9189    9456
   224  650753    275  main   2     4   910D    9469
   225  650783    275  main   2     2   910F    9456
   226  650886    275  main   2     2   9117    9456
   227  650967    275  main   2     4   9112    9469
   228  650979    275  main   2     2   910F    9456
   229  651082    275  main   2     2   9118    9456
   230  651182    275  main   2     4   9114    9469
   231  651192    275  main   2     2   9114    9456
   232  651266    275  main   2     2   9112    9456
   233  651369    275  main   2     2   910D    9456
   234  651385    275  main   2     4   9114    9469
   235  651463    276  main   2     2   9114    9456
   236  651565    276  main   2     2   910D    9456
   237  651599    276  main   2     4   9116    9469
   238  651659    276  main   2     2   9114    9456
   239  651761    276  main   2     2   910D    9456
   240  651813    276  main   2     4   9118    9469
   241  651855    276  main   2     2   9114    9456
   242  651957    276  main   2     2   910F    9456
   243  652027    276  main   2     4   910D    9469
   244  652039    276  main   2     2   910F    9456
