# PC88Behavior バスアクセス採取結果
# 記録しているのはアドレスとアクセス種別のみ。ROM の内容は含まない。

core      : $WORKDIR/vendor/quasi88-libretro/quasi88_libretro.dylib
rom-dir   : $PC88_REF_ROM_DIR
disk      : (なし)
frames    : 600
type      : (なし)

[測定終了時のテキスト画面]
   1| How many files(0-15)?
  19|       load "        auto          go to         list          run

[メインCPU] 総アクセス回数: exec=5019141 read=4869253 write=1563198 in=14583 out=4340

[メインCPU 実行された番地 (fetch)]
  3BD1-3BD1  (1)
  3BD3-3BD3  (1)
  3BD5-3BD5  (1)
  3BE5-3BE5  (1)
  3BE7-3BE8  (2)
  3BEA-3BEA  (1)
  3BF3-3BF3  (1)
  3BF5-3BF6  (2)
  3CC0-3CC0  (1)
  3CC2-3CC7  (6)
  3CC9-3CC9  (1)
  3CCC-3CCC  (1)
  3CCE-3CD8  (11)
  3CDA-3CE0  (7)
  3CE2-3CE2  (1)
  3CE5-3CE5  (1)
  3CE8-3CE8  (1)
  3CEB-3CF1  (7)
  3CF3-3CF3  (1)
  3CF5-3CF5  (1)
  3CF7-3CF7  (1)
  3CF9-3CF9  (1)
  3CFB-3CFB  (1)
  3D67-3D67  (1)
  3D6D-3D6D  (1)
  3D75-3D75  (1)
  3D78-3D78  (1)
  3D7B-3D7B  (1)
  3D7D-3D7D  (1)
  3D7F-3D7F  (1)
  3D81-3D81  (1)
  3D83-3D83  (1)
  3D85-3D85  (1)
  3D87-3D87  (1)
  3D8A-3D8A  (1)
  3D94-3D94  (1)
  3D97-3D98  (2)
  3D9A-3D9D  (4)
  3D9F-3DA3  (5)
  3DBE-3DC2  (5)
  3DC4-3DC5  (2)
  3DC7-3DCA  (4)
  3E0D-3E11  (5)
  3E14-3E15  (2)
  3E18-3E19  (2)
  3E23-3E24  (2)
  3E26-3E26  (1)
  3E28-3E28  (1)
  3E2B-3E2B  (1)
  3E2E-3E30  (3)
  3E32-3E32  (1)
  3E3E-3E40  (3)
  3E43-3E43  (1)
  3E45-3E46  (2)
  3E48-3E48  (1)
  3E4B-3E4F  (5)
  3E51-3E51  (1)
  3E53-3E53  (1)
  3E55-3E55  (1)
  3E57-3E57  (1)
  3E59-3E59  (1)
  3E60-3E60  (1)
  3E62-3E62  (1)
  3E64-3E64  (1)
  3E66-3E66  (1)
  3E68-3E68  (1)
  3E6A-3E6A  (1)
  3E6D-3E6D  (1)
  3E6F-3E6F  (1)
  3E71-3E71  (1)
  3E73-3E73  (1)
  3E76-3E76  (1)
  3E78-3E78  (1)
  3E7A-3E7A  (1)
  3E7C-3E7C  (1)
  3E7E-3E7E  (1)
  3E81-3E83  (3)
  3E85-3E89  (5)
  3E8C-3E8E  (3)
  3E91-3E91  (1)
  3EF3-3EF4  (2)
  3EF7-3EF9  (3)
  3EFC-3EFD  (2)
  3F00-3F02  (3)
  3F20-3F22  (3)
  3F25-3F26  (2)
  3F3F-3F3F  (1)
  3F41-3F41  (1)
  3F44-3F44  (1)
  3F46-3F47  (2)
  3F49-3F49  (1)
  3F4B-3F4B  (1)
  3F79-3F7A  (2)
  3F7D-3F7E  (2)
  3F8A-3F8A  (1)
  3F8D-3F8F  (3)
  3F91-3F91  (1)
  3F94-3F94  (1)
  3F97-3F98  (2)
  3FA0-3FA4  (5)
  3FA7-3FA8  (2)
  3FAA-3FAA  (1)
  3FAD-3FAD  (1)
  3FB0-3FB0  (1)
  3FB2-3FB2  (1)
  3FB4-3FB4  (1)
  3FB6-3FB6  (1)
  3FB9-3FBD  (5)
  3FBF-3FBF  (1)
  3FC2-3FC6  (5)
  3FC8-3FCD  (6)
  3FD0-3FD0  (1)
  3FD2-3FD2  (1)
  3FD4-3FD7  (4)
  3FD9-3FD9  (1)
  3FDC-3FE0  (5)
  3FE2-3FE4  (3)
  3FE7-3FE7  (1)
  3FE9-3FE9  (1)
  3FEB-3FEB  (1)
  3FEE-3FF1  (4)
  3FF3-3FF4  (2)
  3FF6-3FF7  (2)
  3FF9-3FF9  (1)
  3FFC-3FFD  (2)
  4000-4000  (1)
  4003-4008  (6)
  400A-400A  (1)
  400D-4010  (4)
  4012-4012  (1)
  4015-4019  (5)
  401B-401B  (1)
  401E-4021  (4)
  4024-4027  (4)
  402A-402C  (3)
  402F-402F  (1)
  4032-4035  (4)
  4038-403A  (3)
  403D-403F  (3)
  4042-4043  (2)
  4046-4046  (1)
  4143-4145  (3)
  4148-4149  (2)
  414B-414B  (1)
  414D-414D  (1)
  4150-4151  (2)
  4154-4155  (2)
  417B-417B  (1)
  417E-417F  (2)
  41A8-41A8  (1)
  41AB-41AB  (1)
  41AE-41AE  (1)
  41B1-41B2  (2)
  41B5-41B5  (1)
  41B7-41BB  (5)
  41BD-41BD  (1)
  41C0-41C8  (9)
  41CA-41CD  (4)
  41CF-41CF  (1)
  41D2-41D6  (5)
  41E3-41E3  (1)
  41E6-41E8  (3)
  41EB-41ED  (3)
  41F0-41F1  (2)
  41F3-41F5  (3)
  41F7-41F7  (1)
  41FA-41FD  (4)
  41FF-41FF  (1)
  4242-4243  (2)
  4245-4245  (1)
  4248-4248  (1)
  424A-424A  (1)
  424D-424D  (1)
  424F-4250  (2)
  4253-4253  (1)
  4255-4255  (1)
  428B-428C  (2)
  428E-428E  (1)
  4290-4291  (2)
  4294-4294  (1)
  4296-4296  (1)
  4298-4298  (1)
  429B-429F  (5)
  42A2-42A4  (3)
  42A6-42A8  (3)
  42AB-42AB  (1)
  42AD-42AD  (1)
  42B0-42B4  (5)
  42B7-42B8  (2)
  42BB-42BF  (5)
  42C2-42C2  (1)
  42C4-42C6  (3)
  42C8-42C9  (2)
  42CC-42CE  (3)
  42D0-42D3  (4)
  42E9-42E9  (1)
  42EC-42ED  (2)
  42F0-42F1  (2)
  42F4-42F8  (5)
  431E-4320  (3)
  4322-4322  (1)
  4325-4326  (2)
  4329-4329  (1)
  432C-432C  (1)
  432F-4335  (7)
  4337-4337  (1)
  433A-433F  (6)
  4341-4341  (1)
  4343-4343  (1)
  4345-4345  (1)
  4347-4347  (1)
  4349-4349  (1)
  434B-434C  (2)
  434F-4356  (8)
  4359-4359  (1)
  435C-435D  (2)
  4360-4361  (2)
  4364-4369  (6)
  436C-436D  (2)
  4370-4370  (1)
  4372-4373  (2)
  4375-4378  (4)
  437A-437A  (1)
  437C-437E  (3)
  4382-4387  (6)
  4389-438A  (2)
  438D-438E  (2)
  4390-4396  (7)
  43AD-43B1  (5)
  43B4-43B5  (2)
  43BB-43BF  (5)
  43C2-43C3  (2)
  43C6-43C7  (2)
  43C9-43CA  (2)
  43CC-43CC  (1)
  43CF-43CF  (1)
  43D2-43D7  (6)
  43D9-43E5  (13)
  43E7-43EB  (5)
  43ED-43ED  (1)
  43EF-43EF  (1)
  43F1-43F2  (2)
  43F5-43F5  (1)
  43F8-43F9  (2)
  43FB-4401  (7)
  4404-4408  (5)
  440A-440C  (3)
  440E-441A  (13)
  4422-4426  (5)
  4429-442D  (5)
  4430-4432  (3)
  4434-4436  (3)
  4439-443A  (2)
  443C-443D  (2)
  443F-4441  (3)
  4444-4444  (1)
  4446-4448  (3)
  444A-444C  (3)
  444E-4453  (6)
  4456-445A  (5)
  447D-447D  (1)
  4480-4481  (2)
  4484-4484  (1)
  4487-4487  (1)
  448A-448B  (2)
  448E-448E  (1)
  4494-4495  (2)
  4498-4499  (2)
  449C-449E  (3)
  44A4-44A5  (2)
  44A8-44A9  (2)
  44AB-44AB  (1)
  44B1-44B2  (2)
  4551-4552  (2)
  4555-4555  (1)
  4558-4558  (1)
  455B-455B  (1)
  455D-455F  (3)
  4562-4563  (2)
  4566-456A  (5)
  456C-456D  (2)
  456F-456F  (1)
  4571-4571  (1)
  4574-457C  (9)
  457F-4582  (4)
  4585-4587  (3)
  4589-458A  (2)
  458D-458F  (3)
  4592-4592  (1)
  4595-4596  (2)
  45F8-45F8  (1)
  45FB-45FB  (1)
  45FD-4600  (4)
  463D-463E  (2)
  4641-464D  (13)
  4676-4676  (1)
  4679-4685  (13)
  4687-4687  (1)
  468A-468B  (2)
  4FA9-4FAA  (2)
  4FAD-4FAF  (3)
  4FB2-4FB4  (3)
  4FB7-4FB8  (2)
  4FBB-4FBB  (1)
  4FBE-4FBE  (1)
  4FC1-4FC1  (1)
  4FC4-4FC4  (1)
  4FC7-4FCA  (4)
  4FCD-4FCD  (1)
  4FD0-4FD0  (1)
  4FD3-4FD3  (1)
  4FD6-4FD6  (1)
  4FD9-4FD9  (1)
  4FDC-4FDE  (3)
  4FE1-4FE1  (1)
  4FE4-4FE4  (1)
  51DB-51DF  (5)
  51E2-51E5  (4)
  51E8-51E8  (1)
  5372-5372  (1)
  5375-5376  (2)
  5379-537C  (4)
  54F1-54F1  (1)
  54F4-54FD  (10)
  54FF-5501  (3)
  5503-5507  (5)
  5509-550A  (2)
  550C-550D  (2)
