record	candidate_id	arm	physical_row	char_count	sha256
summary	files_layout_rule_G5_SPLIT63_80DOT_00BLANK_UNITS	L96	-	18	95b8c8ce17e3ee87046996ae645b9b5e37a280c328f01bfb6081eb6e1deb831c
summary	files_layout_rule_G5_SPLIT63_80DOT_00BLANK_SECTORS	L0	-	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
row	files_layout_rule_G5_SPLIT63_80DOT_00BLANK_SECTORS	L1	0	12	8b19835187d553dc234266490f83982bca67c1f200261e5d395be70ed4114eeb
summary	files_layout_rule_G5_SPLIT63_80DOT_00BLANK_SECTORS	L1	-	1	f17b7c035cfa2b1d65855bc94f7aee8302e8d99946c788930f240f840e41245c
row	files_layout_rule_G5_SPLIT63_80DOT_00BLANK_SECTORS	L4	0	60	59324f45e521bca8dc675a76e3cf61b06bb9e9c53973af74d9ddafa94c9c3dbb
summary	files_layout_rule_G5_SPLIT63_80DOT_00BLANK_SECTORS	L4	-	1	22e87f3989267c9f0b9d56857a6ddeb0e7971be2c3d546dc78147159e082cd8a
row	files_layout_rule_G5_SPLIT63_80DOT_00BLANK_SECTORS	L5	0	76	7afed7a92ff5677ff92c86027cf96b1d66727606124bb8c347babf0905825df7
summary	files_layout_rule_G5_SPLIT63_80DOT_00BLANK_SECTORS	L5	-	1	210283275e39fd1394ff8bf88261200eb4b988d101783a13c8249a967a22d604
row	files_layout_rule_G5_SPLIT63_80DOT_00BLANK_SECTORS	L6	0	76	7afed7a92ff5677ff92c86027cf96b1d66727606124bb8c347babf0905825df7
row	files_layout_rule_G5_SPLIT63_80DOT_00BLANK_SECTORS	L6	1	12	be2df4bbb7c2edd01e3590f04f06291e13ffa74810f72b27b18d23f3ace0e36b
summary	files_layout_rule_G5_SPLIT63_80DOT_00BLANK_SECTORS	L6	-	2	374a32a364dbecb11e285b96717122dd15b2338a0ac32e0f3a243e6f47b3acc8
row	files_layout_rule_G5_SPLIT63_80DOT_00BLANK_SECTORS	L11	0	76	0ed62239b889b06e75cd1032831548821c5778fde3468ada04644b56011eaeb5
row	files_layout_rule_G5_SPLIT63_80DOT_00BLANK_SECTORS	L11	1	77	cb2335398a5368a4c9ef2ff8cc28a1a22a4049361b9bbb8501ea1f17d8dcee68
row	files_layout_rule_G5_SPLIT63_80DOT_00BLANK_SECTORS	L11	2	12	39be8d51959d7e8bfa493f88b1196f5d20e22bd958a9fcb7b61ec1f72bc50538
summary	files_layout_rule_G5_SPLIT63_80DOT_00BLANK_SECTORS	L11	-	3	5c96e9cb2ffce144834bfc5b146354f9883f815ba150695df21d6ac324605f68
row	files_layout_rule_G5_SPLIT63_80DOT_00BLANK_SECTORS	L96	0	76	432d9263ff34d58feb69085be2d5a915c4010dd70dde7a5c69f6d686043cd430
row	files_layout_rule_G5_SPLIT63_80DOT_00BLANK_SECTORS	L96	1	76	acf0e4ee8ed8ba63c7aee3e3b1369cc920613b0bbfc8a28809ea170c3ff6da7a
row	files_layout_rule_G5_SPLIT63_80DOT_00BLANK_SECTORS	L96	2	76	e890e6c8ce30e0255ed4d6f1b146bedb476770ef308cd8263156de4c4392cfad
row	files_layout_rule_G5_SPLIT63_80DOT_00BLANK_SECTORS	L96	3	76	b6c37dced16389b4a6b1a2bdccf107e91870cbea1965c714ff873660fe8ad96d
